Date,Price,Open,High,Low,Vol.,Return
1/8/1994,170.2628,183.9851,183.9851,168.5162,,-0.0672
1/7/1994,182.5207,180.5738,182.5207,175.6787,,0.0135
1/6/1994,180.0834,175.5542,184.3707,173.2981,,0.0188
1/5/1994,176.7601,174.2991,177.4535,172.5194,,0.0126
1/4/1994,174.5563,174.4247,176.5996,171.8223,,0.0245
1/3/1994,170.3859,171.1877,172.8422,167.6031,,-0.0049
1/2/1994,171.232,180.85,181.8524,170.1435,,-0.0345
1/1/1994,177.3524,164.5262,177.3524,164.5262,,0.0844
1/12/1993,163.5542,165.6624,166.8143,162.267,,-0.0092
1/11/1993,165.0651,173.0772,174.9963,165.0651,,-0.0371
1/10/1993,171.4164,177.3321,179.6971,171.4164,,-0.0335
1/9/1993,177.357,174.365,177.357,170.5652,,0.0086
1/8/1993,175.8414,174.8461,177.9123,173.1143,,0.0103
1/7/1993,174.0556,175.4504,177.4328,170.6977,,-0.0109
1/6/1993,175.9696,181.3573,181.3573,174.6645,,-0.029
1/5/1993,181.2161,188.0347,188.0347,181.2161,,-0.0344
1/4/1993,187.6663,190.5105,190.7541,185.5684,,-0.0132
1/3/1993,190.171,186.3016,190.171,186.2911,,0.0197
1/2/1993,186.5014,183.3931,186.5014,181.2886,,0.0172
1/1/1993,183.3482,179.2787,183.8239,177.5368,,0.0129
1/12/1992,181.0064,178.2443,183.107,175.4189,,0.0051
1/11/1992,180.0958,183.9565,183.9565,180.0958,,-0.0127
1/10/1992,182.4082,188.0272,190.7819,182.1496,,-0.0248
1/9/1992,187.0465,187.1782,189.2271,186.7395,,0.0035
1/8/1992,186.3997,185.7219,187.0408,182.9001,,-0.0016
1/7/1992,186.6917,191.2086,192.022,186.4855,,-0.022
1/6/1992,190.8873,193.0365,196.0347,190.8873,,-0.011
1/5/1992,193.0193,190.6657,193.6244,185.166,,0.0152
1/4/1992,190.1203,186.4998,190.1203,185.6207,,0.0291
1/3/1992,184.7368,180.0212,185.3353,180.0212,,0.0163
1/2/1992,181.7778,182.9407,189.2804,179.9067,,-0.0032
1/1/1992,182.3528,177.8286,183.858,172.6546,,0.0307
1/12/1991,176.9177,188.0909,188.0909,174.4274,,-0.0694
1/11/1991,190.1044,200.2224,200.7197,188.9072,,-0.0425
1/10/1991,198.5509,193.9427,201.7791,193.9427,,0.0238
1/9/1991,193.9276,192.1621,194.8965,189.7211,,0.0067
1/8/1991,192.6421,190.8022,192.911,187.2793,,0.0039
1/7/1991,191.8876,186.1121,191.8876,185.5788,,0.0347
1/6/1991,185.4473,193.1335,193.1335,183.6174,,-0.0386
1/5/1991,192.89,197.589,199.5815,192.89,,-0.0159
1/4/1991,195.998,192.8825,199.9437,192.8825,,0.0096
1/3/1991,194.1259,192.3325,199.1923,191.4191,,0.0151
1/2/1991,191.2345,193.181,195.9278,183.3225,,-0.0165
