"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-1984","379.20","385.50","386.40","362.50","","-2.27%"
"01-12-1983","388.00","405.00","410.00","375.50","","-5.13%"
"01-11-1983","409.00","377.80","414.00","373.00","","7.97%"
"01-10-1983","378.80","396.00","408.80","378.00","","-7.11%"
"01-09-1983","407.80","426.30","429.00","401.00","","-4.00%"
"01-08-1983","424.80","427.00","441.00","418.50","","-0.61%"
"01-07-1983","427.40","419.50","441.60","409.50","","2.13%"
"01-06-1983","418.50","420.00","428.30","401.00","","0.00%"
"01-05-1983","418.50","430.70","452.50","417.80","","-3.46%"
"01-04-1983","433.50","422.50","450.80","422.50","","2.73%"
"01-03-1983","422.00","416.00","442.00","406.50","","-0.40%"
"01-02-1983","423.70","517.50","520.00","423.70","","-18.24%"
"01-01-1983","518.20","455.00","519.00","449.50","","14.39%"
"01-12-1982","453.00","446.00","468.80","435.00","","0.89%"
"01-11-1982","449.00","431.00","449.50","398.00","","6.15%"
"01-10-1982","423.00","408.50","465.00","390.00","","4.50%"
"01-09-1982","404.80","413.50","509.00","396.00","","-3.27%"
"01-08-1982","418.50","364.50","441.00","340.20","","17.72%"
"01-07-1982","355.50","314.00","369.70","308.30","","11.86%"
"01-06-1982","317.80","325.50","343.00","297.50","","-3.40%"
"01-05-1982","329.00","351.00","351.00","322.90","","-5.05%"
"01-04-1982","346.50","334.50","377.50","328.80","","3.68%"
"01-03-1982","334.20","362.50","366.50","312.50","","-8.31%"
"01-02-1982","364.50","387.00","394.40","362.70","","-6.97%"
"01-01-1982","391.80","399.00","411.00","369.00","","-2.73%"
"01-12-1981","402.80","407.00","437.00","396.50","","-2.54%"
"01-11-1981","413.30","432.00","436.00","392.50","","-4.15%"
"01-10-1981","431.20","446.00","469.00","426.50","","-2.66%"
"01-09-1981","443.00","441.00","482.50","428.00","","-0.11%"
"01-08-1981","443.50","411.00","463.00","405.00","","4.80%"
"01-07-1981","423.20","426.50","431.50","397.00","","-1.24%"
"01-06-1981","428.50","495.50","497.50","427.00","","-12.99%"
"01-05-1981","492.50","488.00","503.00","464.00","","0.72%"
"01-04-1981","489.00","524.00","545.50","476.00","","-6.95%"
